15-Dec-23 11:43:00 AM	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:C8:72	""	"TUD-facility"	""	""	-95	5	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 31% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	1C:28:AF:5B:E9:B1	""	"tudelft-dastud"	""	""	-91	12	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 17% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:C8:61	""	"tudelft-dastud"	""	""	-91	12	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 43% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:C8:60	""	"eduroam"	""	""	-91	12	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 43% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	1C:28:AF:5B:E9:B0	""	"eduroam"	""	""	-91	12	"27"	"Ch 100 [5.500 GHz]"	""	"27 Stations, 17% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	1C:28:AF:5B:E9:B2	""	"TUD-facility"	""	""	-91	12	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 17% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	82:13:3B:51:EB:8C	""	"iPhone van Roos"	""	""	-89	18	""	"Ch 6 [2.437 GHz]"	""	""	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	1C:28:AF:61:E6:A1	""	"tudelft-dastud"	""	""	-89	18	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 28% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:DD:F0	""	"eduroam"	""	""	-88	21	"26"	"Ch 136 [5.680 GHz]"	""	"26 Stations, 14% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:DD:F1	""	"tudelft-dastud"	""	""	-88	21	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 14% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:DD:F2	""	"TUD-facility"	""	""	-88	21	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 14% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:C8:62	""	"TUD-facility"	""	""	-88	21	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:8C:21	""	"tudelft-dastud"	""	""	-88	21	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 26% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	1C:28:AF:61:E6:A2	""	"TUD-facility"	""	""	-88	21	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 23% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	1C:28:AF:61:E6:A0	""	"eduroam"	""	""	-88	21	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 28% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:D2:D0	""	"eduroam"	""	""	-88	21	"14"	"Ch 56 [5.280 GHz]"	""	"14 Stations, 2% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	52:C9:4E:D5:1E:56	""	"iPhone von Larissa"	""	""	-87	24	""	"Ch 6 [2.437 GHz]"	""	""	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	00:0E:8E:9A:5E:94	""	"RET WIFI"	""	""	-87	24	""	"Ch 11 [2.462 GHz]"	""	""	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	0E:8E:9A:5E:94:00	""	"MSSIDV"	""	""	-87	24	""	"Ch 11 [2.462 GHz]"	""	""	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:DD:E1	""	"tudelft-dastud"	""	""	-84	33	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 19% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	1C:28:AF:5B:E9:A1	""	"tudelft-dastud"	""	""	-84	33	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 61% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	1C:28:AF:5B:E9:A0	""	"eduroam"	""	""	-84	33	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 61% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:8C:20	""	"eduroam"	""	""	-84	33	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 25% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:DD:E2	""	"TUD-facility"	""	""	-83	36	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 23% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:DD:E0	""	"eduroam"	""	""	-83	36	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 23% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	9A:DF:15:EC:B2:2C	""	"Galaxy S206aec"	""	""	-83	36	""	"Ch 6 [2.437 GHz]"	""	""	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:FA:02	""	"TUD-facility"	""	""	-82	39	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 47% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	1C:28:AF:5B:E9:A2	""	"TUD-facility"	""	""	-82	39	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 61% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:D2:C1	""	"tudelft-dastud"	""	""	-81	42	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 21% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:D2:C0	""	"eduroam"	""	""	-81	42	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 21% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:D2:C2	""	"TUD-facility"	""	""	-81	42	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 21% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	1C:28:AF:5C:3A:10	""	"eduroam"	""	""	-80	45	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:FA:01	""	"tudelft-dastud"	""	""	-80	45	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 47% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
15-Dec-23 11:43:23 AM	D0:4D:C6:F2:FA:00	""	"eduroam"	""	""	-80	45	"2"	"Ch 1 [2.412 GHz]"	""	"2 Stations, 47% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
