15/12/2023 11:50:53	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
15/12/2023 11:50:57	1C:28:AF:5C:3A:01	""	"tudelft-dastud"	""	""	-82	33	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 33% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	1C:28:AF:5C:3A:00	""	"eduroam"	""	""	-82	33	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 33% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	1C:28:AF:5C:42:82	""	"TUD-facility"	""	""	-64	80	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 46% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	1C:28:AF:5C:42:80	""	"eduroam"	""	""	-64	80	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 46% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	62:45:B5:32:7A:0C	""	""	""	""	-83	31	""	"Ch 165 [5.825 GHz]"	""	""	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	6E:77:12:61:2F:D7	""	"Honor 70"	""	""	-85	26	""	"Ch 149 [5.745 GHz]"	""	""	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	1C:28:AF:5C:3A:12	""	"TUD-facility"	""	""	-86	24	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	1C:28:AF:5C:3A:11	""	"tudelft-dastud"	""	""	-85	26	"1"	"Ch 136 [5.680 GHz]"	""	"1 Station, 3% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:ED:B0	""	"eduroam"	""	""	-83	31	"11"	"Ch 136 [5.680 GHz]"	""	"11 Stations, 6% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	1C:28:AF:5C:3A:10	""	"eduroam"	""	""	-87	22	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 4% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:DD:F0	""	"eduroam"	""	""	-80	38	"19"	"Ch 136 [5.680 GHz]"	""	"19 Stations, 5% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:50:12	""	"TUD-facility"	""	""	-82	33	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 12% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:50:11	""	"tudelft-dastud"	""	""	-83	31	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 12% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:50:10	""	"eduroam"	""	""	-83	31	"19"	"Ch 36 [5.180 GHz]"	""	"19 Stations, 12% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	22:10:A3:63:90:43	""	"Kimi wa shoujo na no?"	""	""	-70	67	""	"Ch 1 [2.412 GHz]"	""	""	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:50:00	""	"eduroam"	""	""	-75	53	"2"	"Ch 6 [2.437 GHz]"	""	"2 Stations, 85% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	9A:DF:15:EC:B2:2C	""	"Galaxy S206aec"	""	""	-65	80	""	"Ch 6 [2.437 GHz]"	""	""	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	1C:28:AF:5B:E9:A1	""	"tudelft-dastud"	""	""	-72	62	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 61% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:DD:F2	""	"TUD-facility"	""	""	-79	40	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:ED:B2	""	"TUD-facility"	""	""	-82	33	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 6% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:DD:F1	""	"tudelft-dastud"	""	""	-80	38	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:ED:B1	""	"tudelft-dastud"	""	""	-82	33	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 6% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:9D:E2	""	"TUD-facility"	""	""	-73	60	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 49% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	1C:28:AF:5B:FC:82	""	"TUD-facility"	""	""	-71	65	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 22% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:9D:E1	""	"tudelft-dastud"	""	""	-72	62	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 54% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	1C:28:AF:5B:FC:81	""	"tudelft-dastud"	""	""	-71	65	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 22% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	1C:28:AF:5B:FC:80	""	"eduroam"	""	""	-71	65	"2"	"Ch 11 [2.462 GHz]"	""	"2 Stations, 89% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:8C:32	""	"TUD-facility"	""	""	-87	22	"1"	"Ch 100 [5.500 GHz]"	""	"1 Station, 11% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:8C:31	""	"tudelft-dastud"	""	""	-87	22	"1"	"Ch 100 [5.500 GHz]"	""	"1 Station, 11% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:ED:A1	""	"tudelft-dastud"	""	""	-70	67	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 34% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	1C:28:AF:5B:E5:40	""	"eduroam"	""	""	-74	57	"2"	"Ch 11 [2.462 GHz]"	""	"2 Stations, 32% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:8C:20	""	"eduroam"	""	""	-83	31	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 24% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:66:D2	""	"TUD-facility"	""	""	-81	35	"0"	"Ch 112 [5.560 GHz]"	""	"0 Stations, 4% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:66:D1	""	"tudelft-dastud"	""	""	-81	35	"0"	"Ch 112 [5.560 GHz]"	""	"0 Stations, 4% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:66:D0	""	"eduroam"	""	""	-81	35	"22"	"Ch 112 [5.560 GHz]"	""	"22 Stations, 4% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:8C:30	""	"eduroam"	""	""	-87	22	"43"	"Ch 100 [5.500 GHz]"	""	"43 Stations, 11% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	1C:28:AF:5B:E9:A2	""	"TUD-facility"	""	""	-72	62	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 71% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:ED:A0	""	"eduroam"	""	""	-70	67	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 34% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	1C:28:AF:5B:FC:92	""	"TUD-facility"	""	""	-69	70	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 12% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	1C:28:AF:5B:FC:91	""	"tudelft-dastud"	""	""	-69	70	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 12% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:C8:72	""	"TUD-facility"	""	""	-84	29	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:C8:71	""	"tudelft-dastud"	""	""	-84	29	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	D0:4D:C6:F2:C8:70	""	"eduroam"	""	""	-85	26	"7"	"Ch 48 [5.240 GHz]"	""	"7 Stations, 9% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	1C:28:AF:5B:E9:B2	""	"TUD-facility"	""	""	-74	57	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
15/12/2023 11:50:57	1C:28:AF:5B:E9:B1	""	"tudelft-dastud"	""	""	-75	53	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
